latitude,longitude,Country,streak_days,streak_start,streak_end,n_users,user_ids,n_obs,Category
49.375012,8.888853,Germany,1854.0,2020-06-26,2025-07-24,1,[30178],1785,physical scale
49.375062,8.889207,Germany,1822.0,2020-07-28,2025-07-24,1,[30178],1761,physical scale
51.060439,-115.328485,Canada,1763.0,2019-08-02,2024-05-30,2,"[15185, 93483]",1654,temporary stream
47.726072,13.065014,Austria,1410.0,2017-12-25,2021-11-04,3,"[2316, 4264, 5659]",1123,virtual scale
48.328912,16.214674,Austria,1095.0,2020-07-28,2023-07-28,1,[29542],646,temporary stream
47.395523,8.73067,Switzerland,791.0,2022-07-11,2024-09-09,1,[28919],749,virtual scale
47.394939,8.733537,Switzerland,791.0,2022-07-11,2024-09-09,1,[28919],749,virtual scale
47.394939,8.733537,Switzerland,761.0,2020-05-22,2022-06-22,1,[28919],631,virtual scale
47.789612,13.068625,Austria,755.0,2018-08-17,2020-09-10,3,"[2316, 7867, 2005]",495,virtual scale
48.34557,16.239102,Austria,655.0,2020-09-02,2022-06-19,1,[29542],120,soil moisture
47.389403,8.56156,Switzerland,642.0,2020-11-03,2022-08-07,14,"[11370, 35073, 35124, 29636, 37064, 6542, 36554, 2203, 39177, 36126, 48606, 51761, 64580, 67410]",209,temporary stream
47.396384,8.567287,Switzerland,642.0,2020-11-03,2022-08-07,20,"[11370, 35043, 35073, 35069, 35124, 29636, 36554, 11596, 36854, 36858, 36538, 37245, 36126, 2203, 2267, 40016, 54127, 60224, 62018, 5462]",147,temporary stream
47.395096,8.570016,Switzerland,642.0,2020-11-03,2022-08-07,19,"[11370, 35073, 35124, 29636, 36538, 11596, 36807, 36849, 37202, 2203, 39441, 48424, 53539, 36126, 35174, 6097, 62555, 51631, 64372]",145,temporary stream
47.38787,8.563581,Switzerland,642.0,2020-11-03,2022-08-07,17,"[11370, 35073, 35124, 29636, 36890, 6542, 37366, 2203, 38289, 11596, 39502, 48606, 51761, 2267, 55655, 59554, 63890]",202,temporary stream
